date,number,name,rating,n_reviews,price
2021-02-01,1,Fire TV Stick 4K streaming device with Alexa Voice Remote | Dolby Vision | 2018 release,4.7,"512,797",$39.99
2021-02-01,2,"Amazon Smart Plug, works with Alexa – A Certified for Humans Device",4.7,"328,652",$24.99
2021-02-01,3,Echo Show 5 -- Smart display with Alexa – stay connected with video calling - Charcoal,4.6,"298,030",$44.99
2021-02-01,4,"All-new Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",4.7,"138,241",$44.99
2021-02-01,5,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Voice Remote with TV Controls,4.7,"62,702",$39.00
2021-02-01,6,"Roku Premiere | HD/4K/HDR Streaming Media Player, Simple Remote and Premium HDMI Cable",4.7,"54,827",$24.99
2021-02-01,7,Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,4.8,"81,724",$28.70
2021-02-01,8,"Fire 7 tablet (7"" display, 16 GB) - Black",4.4,"152,800",$49.99
2021-02-01,9,Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Ad-Supported + Kindle Unlimited (with auto-renewal),4.6,"92,476",$129.99
2021-02-01,10,"Wyze Cam 1080p HD Indoor WiFi Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant…",4.5,"99,453",$25.98
2021-02-01,11,All-new Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,4.8,"29,151",$54.99
2021-02-01,12,"All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and motion detection…",4.5,"25,166",$85.49
2021-02-01,13,"GE 6 Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers…",4.8,"45,304",$14.00
2021-02-01,14,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",4.8,"28,884",$34.97
2021-02-01,15,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height…,4.7,"7,488",$109.99
2021-02-01,16,Fujifilm Instax Mini Instant Film Twin Pack (White),4.8,"51,035",$13.38
2021-02-01,17,All-new Echo Show 10 (3rd Gen) | HD smart display with motion and Alexa | Charcoal,Not available,No customer reviews yet,$249.99
2021-02-01,18,"Apple iPad Mini (Wi-Fi, 64GB) - Space Gray (Latest Model)",4.8,"12,129",$384.99
2021-02-01,19,"All-new Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",4.7,"27,650",$89.99
2021-02-01,20,Nintendo Switch Pro Controller,4.9,"35,492",Not available
2021-02-01,21,"OHill Cable Clips, 16 Pack Black Cord Organizer Cable Management for Organizing Cable Cords Home and Office, Self…",4.5,"23,467",$7.99
2021-02-01,22,"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Latest Model, 8th Generation)",4.9,"22,062",$299.00
2021-02-01,23,Sabrent 4-Port USB 2.0 Hub with Individual LED lit Power Switches (HB-UMLS),4.6,"54,139",$7.99
2021-02-01,24,"Roku Ultra 2020 | Streaming Media Player HD/4K/HDR/Dolby Vision with Dolby Atmos, Bluetooth Streaming, and Roku Voice…",4.7,"4,780",$79.00
2021-02-01,25,"Fire HD 8 tablet, 8"" HD display, 32 GB, designed for portable entertainment, Black",4.6,"71,527",$89.99
2021-02-01,26,Just Dance 2021 - Nintendo Switch Standard Edition,4.8,"10,643",$29.88
2021-02-01,27,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision, motion detection, two-way audio…",4.5,"74,000",$33.24
